set,sensitivity,F1,specificity,AUC,significance
method1,0.5,0.5,0.5,0.39,no
method10,0.33,0.36,0.5,0.53,no
method2,0.5,0.46,0.33,0.39,no
method3,0.67,0.62,0.5,0.47,no
method4,0.67,0.62,0.5,0.61,no
method5,0.33,0.33,0.33,0.39,no
method6,0.17,0.22,0.67,0.42,no
method7,0.5,0.55,0.67,0.56,no
method8,0.83,0.83,0.83,0.81,no
method9,0.5,0.5,0.5,0.61,no
highest,method8,method8,method8,method8,nan
